-0.0004972,-0.4
-0.0004968,-0.44
-0.0004964,2.08
-0.000496,-0.2
-0.0004956,2.32
-0.0004952,2.36
-0.0004948,-1.52
-0.0004944,1.48
-0.000494,1.44
-0.0004936,1.76
-0.0004932,1.4
-0.0004928,-0.56
-0.0004924,-0.56
-0.000492,2.24
-0.0004916,0.24
-0.0004912,0.24
-0.0004908,0.24
-0.0004904,-1.04
-0.00049,1.28
-0.0004896,1.28
-0.0004892,-1.92
-0.0004888,-1.72
-0.0004884,2.4
-0.000488,2.48
-0.0004876,-2.12
-0.0004872,1.28
-0.0004868,1.36
-0.0004864,-0.28
-0.000486,-1.76
-0.0004856,-2.24
-0.0004852,-2.24
-0.0004848,2.32
-0.0004844,-1.4
-0.000484,-1.36
-0.0004836,-0.56
-0.0004832,-1.76
-0.0004828,0.44
-0.0004824,0.4
-0.000482,-0.32
-0.0004816,-2.04
-0.0004812,-2.4
-0.0004808,-2.52
-0.0004804,-0.56
-0.00048,1.88
-0.0004796,1.96
-0.0004792,-1.04
-0.0004788,0.92
-0.0004784,1.24
-0.000478,1.16
-0.0004776,1.96
-0.0004772,1.16
-0.0004768,1.04
-0.0004764,0.72
-0.000476,0.88
-0.0004756,1.16
-0.0004752,1.16
-0.0004748,2
-0.0004744,2.16
-0.000474,1.32
-0.0004736,-0.24
-0.0004732,-0.76
-0.0004728,2.16
-0.0004724,2.12
-0.000472,2.2
-0.0004716,-2.16
-0.0004712,-0.8
-0.0004708,-0.8
-0.0004704,-2.44
-0.00047,-0.56
-0.0004696,-0.52
-0.0004692,0.52
-0.0004688,-1.76
-0.0004684,-0.48
-0.000468,-0.48
-0.0004676,-2.12
-0.0004672,0.56
-0.0004668,0.6
-0.0004664,-0.88
-0.000466,-2.08
-0.0004656,1.28
-0.0004652,1.24
-0.0004648,1.2
-0.0004644,-1.4
-0.000464,-1
-0.0004636,-0.92
-0.0004632,-1.68
-0.0004628,-2.28
-0.0004624,-2.32
-0.000462,0.28
-0.0004616,0.8
-0.0004612,2.44
-0.0004608,2.4
-0.0004604,2
-0.00046,-1.8
-0.0004596,-1.72
-0.0004592,-2.04
-0.0004588,-0.76
-0.0004584,1.72
-0.000458,1.72
-0.0004576,1
-0.0004572,-1.72
-0.0004568,-1.6
-0.0004564,-1.52
-0.000456,2.2
-0.0004556,-1.2
-0.0004552,-1.2
-0.0004548,-2.28
-0.0004544,0.76
-0.000454,-0.6
-0.0004536,-0.6
-0.0004532,1.04
-0.0004528,-2.16
-0.0004524,-2.2
-0.000452,2.16
-0.0004516,-1.2
-0.0004512,0.84
-0.0004508,0.88
-0.0004504,-1.24
-0.00045,2.24
-0.0004496,2.2
-0.0004492,-0.88
-0.0004488,2.16
-0.0004484,-1.2
-0.000448,-1.2
-0.0004476,1.72
-0.0004472,0.72
-0.0004468,0.68
